patient_id,review,cleaned_review,tokens,tokens_no_stop,tokens_lemmatized,preprocessed_text,remove_reason,polarity_score,sentiment
PATIENT_0001,Very disappointed with the service. Would not return.,very disappointed with the service would not return,"['very', 'disappointed', 'with', 'the', 'service', 'would', 'not', 'return']","['disappointed', 'service', 'would', 'return']","['disappointed', 'service', 'would', 'return']",disappointed service would return,keep,-0.75,Negative
PATIENT_0002,It was an okay experience. Nothing special.,it was an okay experience nothing special,"['it', 'was', 'an', 'okay', 'experience', 'nothing', 'special']","['okay', 'experience', 'nothing', 'special']","['okay', 'experience', 'nothing', 'special']",okay experience nothing special,keep,0.4285714285714286,Positive
PATIENT_0003,Waste of time and money. Very unhelpful staff.,waste of time and money very unhelpful staff,"['waste', 'of', 'time', 'and', 'money', 'very', 'unhelpful', 'staff']","['waste', 'time', 'money', 'unhelpful', 'staff']","['waste', 'time', 'money', 'unhelpful', 'staff']",waste time money unhelpful staff,keep,-0.2,Negative
PATIENT_0004,Very disappointed with the service. Would not return.,very disappointed with the service would not return,"['very', 'disappointed', 'with', 'the', 'service', 'would', 'not', 'return']","['disappointed', 'service', 'would', 'return']","['disappointed', 'service', 'would', 'return']",disappointed service would return,keep,-0.75,Negative
PATIENT_0005,Best healthcare experience I've had. Very impressed!,best healthcare experience i have had very impressed,"['best', 'healthcare', 'experience', 'i', 'have', 'had', 'very', 'impressed']","['best', 'healthcare', 'experience', 'impressed']","['best', 'healthcare', 'experience', 'impressed']",best healthcare experience impressed,keep,1.0,Positive
PATIENT_0006,The treatment was ineffective and expensive.,the treatment was ineffective and expensive,"['the', 'treatment', 'was', 'ineffective', 'and', 'expensive']","['treatment', 'ineffective', 'expensive']","['treatment', 'ineffective', 'expensive']",treatment ineffective expensive,keep,-0.5,Negative
PATIENT_0007,Terrible experience. Long wait times and rude staff.,terrible experience long wait times and rude staff,"['terrible', 'experience', 'long', 'wait', 'times', 'and', 'rude', 'staff']","['terrible', 'experience', 'long', 'wait', 'times', 'rude', 'staff']","['terrible', 'experience', 'long', 'wait', 'time', 'rude', 'staff']",terrible experience long wait time rude staff,keep,-0.45,Negative
PATIENT_0008,The doctor was very professional and caring. Highly satisfied!,the doctor was very professional and caring highly satisfied,"['the', 'doctor', 'was', 'very', 'professional', 'and', 'caring', 'highly', 'satisfied']","['doctor', 'professional', 'caring', 'highly', 'satisfied']","['doctor', 'professional', 'caring', 'highly', 'satisfied']",doctor professional caring highly satisfied,keep,0.3,Positive
PATIENT_0009,The doctor was dismissive and didn't listen to my concerns.,the doctor was dismissive and did not listen to my concerns,"['the', 'doctor', 'was', 'dismissive', 'and', 'did', 'not', 'listen', 'to', 'my', 'concerns']","['doctor', 'dismissive', 'listen', 'concerns']","['doctor', 'dismissive', 'listen', 'concern']",doctor dismissive listen concern,keep,0.0,Neutral
PATIENT_0010,It was just a regular doctor's visit.,it was just a regular doctors visit,"['it', 'was', 'just', 'a', 'regular', 'doctors', 'visit']","['regular', 'doctors', 'visit']","['regular', 'doctor', 'visit']",regular doctor visit,keep,0.0,Neutral
PATIENT_0011,Terrible experience. Long wait times and rude staff.,terrible experience long wait times and rude staff,"['terrible', 'experience', 'long', 'wait', 'times', 'and', 'rude', 'staff']","['terrible', 'experience', 'long', 'wait', 'times', 'rude', 'staff']","['terrible', 'experience', 'long', 'wait', 'time', 'rude', 'staff']",terrible experience long wait time rude staff,keep,-0.45,Negative
