patient_id,review
PATIENT_0001,Very disappointed with the service. Would not return.
PATIENT_0002,It was an okay experience. Nothing special.
PATIENT_0003,Waste of time and money. Very unhelpful staff.
PATIENT_0004,Very disappointed with the service. Would not return.
PATIENT_0005,Best healthcare experience I've had. Very impressed!
PATIENT_0006,The treatment was ineffective and expensive.
PATIENT_0007,Terrible experience. Long wait times and rude staff.
PATIENT_0008,The doctor was very professional and caring. Highly satisfied!
PATIENT_0009,The doctor was dismissive and didn't listen to my concerns.
PATIENT_0010,It was just a regular doctor's visit.
PATIENT_0011,Terrible experience. Long wait times and rude staff.
PATIENT_0012,Amazing doctors and nurses. They really care about patients.
PATIENT_0013,The doctor was dismissive and didn't listen to my concerns.
PATIENT_0014,Waste of time and money. Very unhelpful staff.
PATIENT_0015,Very knowledgeable doctor. Great communication and support.
PATIENT_0016,The clinic is well-organized and the staff is friendly.
PATIENT_0017,The appointment was standard. Service was average.
PATIENT_0018,The clinic is well-organized and the staff is friendly.
PATIENT_0019,Felt very welcome and well taken care of. Excellent experience!
PATIENT_0020,The appointment was standard. Service was average.
PATIENT_0021,Average service quality. Could be better or worse.
PATIENT_0022,Would give negative stars if possible. Terrible experience.
PATIENT_0023,Average service quality. Could be better or worse.
PATIENT_0024,The appointment was standard. Service was average.
PATIENT_0025,Felt rushed during my appointment. Not satisfied.
PATIENT_0026,The clinic is well-organized and the staff is friendly.
PATIENT_0027,The appointment was standard. Service was average.
PATIENT_0028,Amazing doctors and nurses. They really care about patients.
PATIENT_0029,Excellent service and clean facilities. Would recommend to everyone.
PATIENT_0030,Amazing doctors and nurses. They really care about patients.
PATIENT_0031,Waste of time and money. Very unhelpful staff.
PATIENT_0032,Felt very welcome and well taken care of. Excellent experience!
PATIENT_0033,Waste of time and money. Very unhelpful staff.
PATIENT_0034,Would give negative stars if possible. Terrible experience.
PATIENT_0035,Top-notch medical services. Highly recommended!
PATIENT_0036,The doctor was very professional and caring. Highly satisfied!
PATIENT_0037,Amazing doctors and nurses. They really care about patients.
PATIENT_0038,Terrible experience. Long wait times and rude staff.
PATIENT_0039,Excellent service and clean facilities. Would recommend to everyone.
PATIENT_0040,Would give negative stars if possible. Terrible experience.
PATIENT_0041,It was an okay experience. Nothing special.
PATIENT_0042,Would give negative stars if possible. Terrible experience.
PATIENT_0043,Decent facilities but could be cleaner.
PATIENT_0044,The doctor was adequate in their approach.
PATIENT_0045,Terrible experience. Long wait times and rude staff.
PATIENT_0046,The treatment was ineffective and expensive.
PATIENT_0047,"It was fine, nothing to complain about."
PATIENT_0048,Excellent service and clean facilities. Would recommend to everyone.
PATIENT_0049,The medical staff treated me with great respect and compassion.
PATIENT_0050,Poor communication from the medical team.
PATIENT_0051,Unprofessional behavior from the receptionist.
PATIENT_0052,Decent facilities but could be cleaner.
PATIENT_0053,The treatment was ineffective and expensive.
PATIENT_0054,The experience was acceptable but unremarkable.
PATIENT_0055,Outstanding care from the entire team. Thank you so much!
PATIENT_0056,Terrible experience. Long wait times and rude staff.
PATIENT_0057,The clinic is well-organized and the staff is friendly.
PATIENT_0058,Amazing doctors and nurses. They really care about patients.
PATIENT_0059,Very disappointed with the service. Would not return.
PATIENT_0060,Felt very welcome and well taken care of. Excellent experience!
PATIENT_0061,Felt rushed during my appointment. Not satisfied.
PATIENT_0062,The experience was acceptable but unremarkable.
PATIENT_0063,Terrible experience. Long wait times and rude staff.
PATIENT_0064,Average service quality. Could be better or worse.
PATIENT_0065,The doctor was very professional and caring. Highly satisfied!
PATIENT_0066,Excellent service and clean facilities. Would recommend to everyone.
PATIENT_0067,Would give negative stars if possible. Terrible experience.
PATIENT_0068,Amazing doctors and nurses. They really care about patients.
PATIENT_0069,Poor communication from the medical team.
